date,campaign_id,channel,keyword,audience,bid_strategy,bid_spend,quality_score,landing_page_performance
2025-11-20,CAMP_GGL_BRAND_01,Google Ads,open demat account,KYC Dropoff,Target CPA,1791.67,8.2,0.709
2025-11-20,CAMP_GGL_GEN_02,Google Ads,intraday app,KYC Dropoff,Target ROAS,1334.62,7.2,0.277
2025-11-20,CAMP_GGL_GEN_02,Google Ads,zero brokerage,App Installers,Target CPA,3343.19,3.7,0.726
2025-11-20,CAMP_GGL_GEN_02,Google Ads,mutual funds app,KYC Dropoff,Target CPA,2280.38,7.8,0.649
2025-11-20,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Retarget 30D,Cost Cap,1976.77,5.1,0.66
2025-11-20,CAMP_META_AWR_05,Meta (FB/IG),options traders,Video Engagers,Cost Cap,1380.69,8.6,0.637
2025-11-21,CAMP_GGL_BRAND_01,Google Ads,intraday app,Brand Searchers,Maximize Conversions,1878.31,5.0,0.296
2025-11-21,CAMP_GGL_BRAND_01,Google Ads,best trading platform,Brand Searchers,Target ROAS,2744.85,8.3,0.209
2025-11-21,CAMP_GGL_GEN_02,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,1623.82,9.3,0.336
2025-11-21,CAMP_GGL_GEN_02,Google Ads,mutual funds app,App Installers,Target ROAS,2746.03,5.4,0.631
2025-11-21,CAMP_GGL_GEN_02,Google Ads,intraday app,Brand Searchers,Maximize Conversions,2433.65,6.7,0.313
2025-11-21,CAMP_GGL_GEN_02,Google Ads,stock trading app,High Intent Traders,Target CPA,3357.69,7.2,0.717
2025-11-21,CAMP_META_AWR_05,Meta (FB/IG),options traders,Video Engagers,Highest Volume,2928.97,9.5,0.463
2025-11-22,CAMP_GGL_BRAND_01,Google Ads,open demat account,Brand Searchers,Maximize Conversions,2010.02,6.6,0.691
2025-11-22,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,High Intent Traders,Target ROAS,3000.81,3.2,0.592
2025-11-22,CAMP_GGL_BRAND_01,Google Ads,stock trading app,KYC Dropoff,Maximize Conversions,1656.90,4.2,0.731
2025-11-22,CAMP_GGL_BRAND_01,Google Ads,open demat account,Brand Searchers,Target ROAS,1027.02,8.7,0.217
2025-11-22,CAMP_GGL_GEN_02,Google Ads,open demat account,High Intent Traders,Target ROAS,2971.06,7.9,0.639
2025-11-22,CAMP_GGL_GEN_02,Google Ads,intraday app,App Installers,Target ROAS,2950.40,4.7,0.652
2025-11-22,CAMP_GGL_GEN_02,Google Ads,stock trading app,High Intent Traders,Maximize Conversions,3128.23,5.0,0.459
2025-11-22,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Finance Interests,Cost Cap,1451.46,6.2,0.752
